Distance_(pixels),Gray_Value
1135,67.822
1136,53.703
1137,41.805
1138,32.379
1139,26.442
1140,25.931
1141,31.787
1142,41.788
1143,54.415
1144,68.102
1145,78.658
1146,86.731
1147,90.797
1148,89.364
1149,83.655
1150,74.504
1151,62.240
1152,49.203
1153,37.365
1154,28.870
1155,24.304
1156,24.345
1157,29.878
1158,39.177
1159,48.242
1160,58.823
1161,69.051
1162,76.505
1163,79.394
1164,79.260
1165,75.760
1166,67.756
1167,55.727
1168,44.628
1169,35.695
1170,28.381
1171,23.858
1172,23.667
1173,27.232
1174,35.189
1175,44.550
1176,54.541
1177,62.712
1178,67.925
1179,68.583
1180,66.956
1181,62.921
1182,55.971
1183,47.994
1184,39.558
1185,31.886
1186,27.698
1187,25.393
1188,26.384
1189,30.232
1190,36.153
1191,42.554
1192,50.614
1193,57.277
1194,60.968
1195,61.389
1196,59.319
1197,55.016
1198,47.836
1199,40.914
1200,34.833
1201,29.430
1202,25.481
1203,24.748
1204,26.970
1205,32.941
1206,40.277
1207,46.659
1208,52.090
1209,56.850
1210,60.817
1211,61.251
1212,57.177
1213,51.991
1214,45.922
1215,38.007
1216,31.397
1217,26.566
1218,24.985
1219,26.867
1220,30.819
1221,36.300
1222,43.666
1223,50.316
1224,55.381
1225,59.745
1226,62.143
1227,59.271
1228,54.493
1229,48.152
1230,41.296
1231,34.586
1232,29.236
1233,27.116
1234,26.176
1235,27.457
1236,31.403
1237,37.919
1238,45.554
1239,52.973
1240,57.408
1241,60.352
1242,59.874
1243,57.163
1244,52.071
1245,45.291
1246,37.815
1247,31.725
1248,27.129
1249,24.700
1250,25.869
1251,28.691
1252,33.818
1253,39.658
1254,47.159
1255,52.091
1256,55.052
1257,55.534
1258,53.297
1259,49.240
1260,44.851
1261,39.046
1262,32.811
1263,28.963
1264,26.870
1265,26.929
1266,29.192
1267,33.175
1268,38.518
1269,45.078
1270,49.082
1271,51.692
1272,52.794
1273,52.698
1274,48.258
1275,44.166
1276,38.024
1277,33.183
1278,29.924
1279,27.468
1280,27.990
1281,29.500
1282,33.426
1283,38.463
1284,43.876
1285,48.780
1286,51.015
1287,51.675
1288,50.288
1289,47.325
1290,43.749
1291,39.247
1292,33.430
1293,29.476
1294,28.102
1295,27.278
1296,29.366
1297,33.725
1298,39.640
1299,44.071
1300,48.990
1301,52.088
1302,51.940
1303,50.585
1304,47.702
1305,42.946
1306,38.098
1307,33.817
1308,30.042
1309,27.681
